t,sp,unit,r_flw,f_flw,rpm,sps,top,cal%,vol_uL,mass_g,pumpOn
3595833,500,uL/min,-131,498,12.9,1376,1418,0,39530,38.344,1
3595853,500,uL/min,-33,498,12.9,1376,1418,0,39530,38.344,1
3595875,500,uL/min,160,498,12.9,1376,1418,0,39530,38.344,1
3595895,500,uL/min,199,498,12.9,1376,1418,0,39530,38.344,1
3595916,500,uL/min,198,498,12.9,1376,1418,0,39530,38.344,1
3595937,500,uL/min,300,498,12.9,1376,1418,0,39531,38.345,1
3595958,500,uL/min,387,498,12.9,1376,1418,0,39531,38.345,1
3595979,500,uL/min,453,498,12.9,1375,1419,0,39531,38.345,1
3596000,500,uL/min,566,498,12.9,1375,1419,0,39531,38.345,1
3596020,500,uL/min,730,498,12.9,1375,1419,0,39531,38.345,1
3596041,500,uL/min,778,499,12.9,1375,1419,0,39531,38.345,1
3596062,500,uL/min,829,499,12.9,1375,1419,0,39532,38.346,1
3596083,500,uL/min,938,499,12.9,1375,1419,0,39532,38.346,1
3596103,500,uL/min,1021,499,12.9,1375,1419,0,39532,38.346,1
3596124,500,uL/min,932,499,12.9,1375,1419,0,39532,38.346,1
3596145,500,uL/min,933,499,12.9,1375,1419,0,39532,38.346,1
3596166,500,uL/min,805,499,12.9,1375,1419,0,39532,38.346,1
3596186,500,uL/min,856,499,12.9,1375,1419,0,39533,38.347,1
3596207,500,uL/min,701,499,12.9,1375,1419,0,39533,38.347,1
3596228,500,uL/min,705,499,12.9,1375,1419,0,39533,38.347,1
3596248,500,uL/min,558,499,12.9,1375,1419,0,39533,38.347,1
3596269,500,uL/min,641,499,12.9,1375,1419,0,39533,38.347,1
3596290,500,uL/min,685,499,12.9,1375,1419,0,39533,38.347,1
3596311,500,uL/min,660,499,12.9,1375,1419,0,39534,38.348,1
3596331,500,uL/min,543,499,12.9,1375,1419,0,39534,38.348,1
3596352,500,uL/min,526,499,12.9,1375,1419,0,39534,38.348,1
3596373,500,uL/min,560,500,12.9,1375,1419,0,39534,38.348,1
3596394,500,uL/min,584,500,12.9,1375,1419,0,39534,38.348,1
3596414,500,uL/min,528,500,12.9,1375,1419,0,39535,38.348,1
3596435,500,uL/min,476,500,12.9,1375,1419,0,39535,38.349,1
3596456,500,uL/min,456,500,12.9,1375,1419,0,39535,38.349,1
3596477,500,uL/min,421,500,12.9,1375,1419,0,39535,38.349,1
3596497,500,uL/min,384,500,12.9,1374,1420,0,39535,38.349,1
3596518,500,uL/min,294,500,12.9,1374,1420,0,39535,38.349,1
3596539,500,uL/min,-911,500,12.9,1374,1420,0,39536,38.349,1
3596560,500,uL/min,-58,500,12.9,1374,1420,0,39536,38.35,1
3596580,500,uL/min,14,500,12.9,1374,1420,0,39536,38.35,1
3596601,500,uL/min,89,500,12.9,1374,1420,0,39536,38.35,1
3596622,500,uL/min,173,500,12.9,1374,1420,0,39536,38.35,1
3596643,500,uL/min,229,501,12.9,1374,1420,0,39536,38.35,1
3596663,500,uL/min,333,501,12.9,1374,1420,0,39537,38.35,1
3596684,500,uL/min,321,501,12.9,1374,1420,0,39537,38.351,1
3596705,500,uL/min,417,501,12.9,1374,1420,0,39537,38.351,1
3596725,500,uL/min,586,501,12.9,1374,1420,0,39537,38.351,1
3596746,500,uL/min,687,501,12.9,1374,1420,0,39537,38.351,1
3596767,500,uL/min,698,501,12.9,1374,1420,0,39537,38.351,1
3596788,500,uL/min,799,501,12.9,1374,1420,0,39538,38.351,1
3596808,500,uL/min,858,501,12.9,1374,1421,0,39538,38.352,1
3596829,500,uL/min,965,501,12.9,1374,1421,0,39538,38.352,1
3596850,500,uL/min,886,501,12.9,1374,1421,0,39538,38.352,1
3596871,500,uL/min,873,501,12.9,1374,1421,0,39538,38.352,1
3596891,500,uL/min,864,501,12.9,1374,1421,0,39538,38.352,1
3596912,500,uL/min,832,502,12.9,1374,1421,0,39539,38.352,1
3596933,500,uL/min,753,502,12.9,1374,1421,0,39539,38.353,1
3596954,500,uL/min,803,502,12.9,1374,1421,0,39539,38.353,1
3596974,500,uL/min,815,502,12.9,1374,1421,0,39539,38.353,1
3596995,500,uL/min,693,502,12.9,1374,1421,0,39539,38.353,1
3597016,500,uL/min,624,502,12.9,1374,1421,0,39540,38.353,1
3597037,500,uL/min,535,502,12.9,1374,1421,0,39540,38.354,1
3597057,500,uL/min,541,502,12.9,1374,1421,0,39540,38.354,1
3597078,500,uL/min,556,502,12.9,1374,1421,0,39540,38.354,1
3597099,500,uL/min,541,502,12.9,1374,1421,0,39540,38.354,1
3597120,500,uL/min,527,502,12.9,1374,1421,0,39540,38.354,1
3597140,500,uL/min,494,502,12.9,1374,1421,0,39541,38.354,1
3597161,500,uL/min,483,502,12.9,1374,1421,0,39541,38.355,1
3597182,500,uL/min,458,502,12.9,1374,1421,0,39541,38.355,1
3597203,500,uL/min,402,503,12.9,1374,1421,0,39541,38.355,1
3597223,500,uL/min,388,503,12.9,1373,1422,0,39541,38.355,1
3597244,500,uL/min,301,503,12.9,1373,1422,0,39541,38.355,1
3597265,500,uL/min,-825,503,12.9,1373,1422,0,39542,38.355,1
3597286,500,uL/min,-57,503,12.9,1373,1422,0,39542,38.356,1
3597306,500,uL/min,7,503,12.9,1373,1422,0,39542,38.356,1
3597327,500,uL/min,112,503,12.9,1373,1422,0,39542,38.356,1
3597348,500,uL/min,171,503,12.9,1373,1422,0,39542,38.356,1
3597369,500,uL/min,223,503,12.9,1373,1422,0,39542,38.356,1
3597389,500,uL/min,324,503,12.9,1373,1422,0,39543,38.356,1
3597410,500,uL/min,335,503,12.9,1373,1422,0,39543,38.357,1
3597431,500,uL/min,454,503,12.9,1372,1423,0,39543,38.357,1
3597452,500,uL/min,549,503,12.9,1372,1423,0,39543,38.357,1
3597472,500,uL/min,611,504,12.9,1372,1423,0,39543,38.357,1
3597493,500,uL/min,721,504,12.9,1372,1423,0,39544,38.357,1
3597514,500,uL/min,712,504,12.9,1372,1423,0,39544,38.357,1
3597535,500,uL/min,775,504,12.9,1372,1423,0,39544,38.358,1
