t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn
116133,5,rpm,65,276,5.0,5.0,533,3661,0,437,0.424,1
116154,5,rpm,109,276,5.0,5.0,533,3661,0,437,0.424,1
116174,5,rpm,-1375,276,5.0,5.0,533,3661,0,437,0.424,1
116195,5,rpm,-952,276,5.0,5.0,533,3661,0,437,0.424,1
116216,5,rpm,-464,276,5.0,5.0,533,3661,0,437,0.424,1
116237,5,rpm,-38,276,5.0,5.0,533,3661,0,437,0.424,1
116257,5,rpm,10,276,5.0,5.0,533,3661,0,437,0.424,1
116278,5,rpm,-85,276,5.0,5.0,533,3661,0,437,0.424,1
116298,5,rpm,-82,276,5.0,5.0,533,3661,0,437,0.424,1
116319,5,rpm,-79,276,5.0,5.0,533,3661,0,438,0.424,1
116340,5,rpm,-69,276,5.0,5.0,533,3661,0,438,0.425,1
116360,5,rpm,-30,276,5.0,5.0,533,3661,0,438,0.425,1
116381,5,rpm,-52,276,5.0,5.0,533,3661,0,438,0.425,1
116401,5,rpm,-46,276,5.0,5.0,533,3661,0,438,0.425,1
116422,5,rpm,-28,276,5.0,5.0,533,3661,0,438,0.425,1
116443,5,rpm,-28,276,5.0,5.0,533,3661,0,438,0.425,1
116463,5,rpm,-7,276,5.0,5.0,533,3661,0,438,0.425,1
116484,5,rpm,-11,276,5.0,5.0,533,3661,0,438,0.425,1
116504,5,rpm,-4,276,5.0,5.0,533,3661,0,438,0.425,1
116525,5,rpm,4,277,5.0,5.0,533,3661,0,438,0.425,1
116546,5,rpm,10,277,5.0,5.0,533,3661,0,439,0.425,1
116566,5,rpm,55,277,5.0,5.0,533,3661,0,439,0.426,1
116587,5,rpm,33,277,5.0,5.0,533,3661,0,439,0.426,1
116607,5,rpm,67,277,5.0,5.0,533,3661,0,439,0.426,1
116628,5,rpm,208,277,5.0,5.0,533,3661,0,439,0.426,1
116649,5,rpm,96,277,5.0,5.0,533,3661,0,439,0.426,1
116669,5,rpm,250,277,5.0,5.0,533,3661,0,439,0.426,1
116690,5,rpm,178,277,5.0,5.0,533,3661,0,439,0.426,1
116710,5,rpm,181,277,5.0,5.0,533,3661,0,439,0.426,1
116731,5,rpm,655,277,5.0,5.0,533,3661,0,439,0.426,1
116751,5,rpm,76,277,5.0,5.0,533,3661,0,440,0.426,1
116772,5,rpm,227,277,5.0,5.0,533,3661,0,440,0.426,1
116793,5,rpm,738,277,5.0,5.0,533,3661,0,440,0.427,1
116813,5,rpm,133,278,5.0,5.0,533,3661,0,440,0.427,1
116834,5,rpm,255,278,5.0,5.0,533,3661,0,440,0.427,1
116854,5,rpm,800,278,5.0,5.0,533,3661,0,440,0.427,1
116875,5,rpm,236,278,5.0,5.0,533,3661,0,440,0.427,1
116896,5,rpm,922,278,5.0,5.0,533,3661,0,440,0.427,1
116916,5,rpm,141,278,5.0,5.0,533,3661,0,440,0.427,1
116937,5,rpm,338,278,5.0,5.0,533,3661,0,440,0.427,1
116957,5,rpm,987,278,5.0,5.0,533,3661,0,440,0.427,1
116978,5,rpm,96,278,5.0,5.0,533,3661,0,441,0.427,1
116999,5,rpm,367,278,5.0,5.0,533,3661,0,441,0.427,1
117019,5,rpm,917,278,5.0,5.0,533,3661,0,441,0.428,1
117040,5,rpm,214,278,5.0,5.0,533,3661,0,441,0.428,1
117060,5,rpm,477,278,5.0,5.0,533,3661,0,441,0.428,1
117081,5,rpm,700,278,5.0,5.0,533,3661,0,441,0.428,1
117102,5,rpm,326,278,5.0,5.0,533,3661,0,441,0.428,1
117122,5,rpm,983,278,5.0,5.0,533,3661,0,441,0.428,1
117143,5,rpm,82,278,5.0,5.0,533,3661,0,441,0.428,1
117163,5,rpm,355,278,5.0,5.0,533,3661,0,441,0.428,1
117184,5,rpm,944,278,5.0,5.0,533,3661,0,442,0.428,1
117204,5,rpm,105,278,5.0,5.0,533,3661,0,442,0.428,1
117225,5,rpm,343,278,5.0,5.0,533,3661,0,442,0.428,1
117246,5,rpm,902,278,5.0,5.0,533,3661,0,442,0.429,1
117266,5,rpm,244,278,5.0,5.0,533,3661,0,442,0.429,1
117287,5,rpm,875,278,5.0,5.0,533,3661,0,442,0.429,1
117308,5,rpm,221,278,5.0,5.0,533,3661,0,442,0.429,1
117328,5,rpm,336,278,5.0,5.0,533,3661,0,442,0.429,1
117349,5,rpm,989,278,5.0,5.0,533,3661,0,442,0.429,1
117369,5,rpm,78,278,5.0,5.0,533,3661,0,442,0.429,1
117390,5,rpm,377,278,5.0,5.0,533,3661,0,443,0.429,1
117410,5,rpm,952,278,5.0,5.0,533,3661,0,443,0.429,1
117431,5,rpm,127,278,5.0,5.0,533,3661,0,443,0.429,1
117452,5,rpm,330,278,5.0,5.0,533,3661,0,443,0.43,1
117472,5,rpm,842,278,5.0,5.0,533,3661,0,443,0.43,1
117493,5,rpm,262,278,5.0,5.0,533,3661,0,443,0.43,1
117514,5,rpm,729,278,5.0,5.0,533,3661,0,443,0.43,1
117534,5,rpm,295,278,5.0,5.0,533,3661,0,443,0.43,1
117555,5,rpm,314,278,5.0,5.0,533,3661,0,443,0.43,1
117575,5,rpm,980,278,5.0,5.0,533,3661,0,443,0.43,1
117596,5,rpm,81,278,5.0,5.0,533,3661,0,443,0.43,1
117616,5,rpm,301,278,5.0,5.0,533,3661,0,444,0.43,1
117637,5,rpm,892,278,5.0,5.0,533,3661,0,444,0.43,1
117658,5,rpm,162,278,5.0,5.0,533,3661,0,444,0.43,1
117678,5,rpm,260,278,5.0,5.0,533,3661,0,444,0.431,1
117699,5,rpm,810,278,5.0,5.0,533,3661,0,444,0.431,1
117720,5,rpm,227,278,5.0,5.0,533,3661,0,444,0.431,1
117740,5,rpm,786,278,5.0,5.0,533,3661,0,444,0.431,1
117761,5,rpm,202,278,5.0,5.0,533,3661,0,444,0.431,1
117781,5,rpm,230,278,5.0,5.0,533,3661,0,444,0.431,1
117802,5,rpm,810,278,5.0,5.0,533,3661,0,444,0.431,1
117823,5,rpm,75,278,5.0,5.0,533,3661,0,445,0.431,1
117843,5,rpm,211,278,5.0,5.0,533,3661,0,445,0.431,1
117864,5,rpm,677,278,5.0,5.0,533,3661,0,445,0.431,1
117884,5,rpm,113,278,5.0,5.0,533,3661,0,445,0.431,1
117905,5,rpm,185,278,5.0,5.0,533,3661,0,445,0.432,1
117925,5,rpm,528,278,5.0,5.0,533,3661,0,445,0.432,1
117946,5,rpm,152,278,5.0,5.0,533,3661,0,445,0.432,1
117967,5,rpm,466,278,5.0,5.0,533,3661,0,445,0.432,1
117987,5,rpm,125,278,5.0,5.0,533,3661,0,445,0.432,1
118008,5,rpm,137,278,5.0,5.0,533,3661,0,445,0.432,1
118029,5,rpm,349,278,5.0,5.0,533,3661,0,445,0.432,1
118049,5,rpm,-1562,278,5.0,5.0,533,3661,0,446,0.432,1
118070,5,rpm,-415,278,5.0,5.0,533,3661,0,446,0.432,1
118090,5,rpm,-896,278,5.0,5.0,533,3661,0,446,0.432,1
118111,5,rpm,-44,278,5.0,5.0,533,3661,0,446,0.432,1
118132,5,rpm,-59,278,5.0,5.0,533,3661,0,446,0.433,1
118152,5,rpm,-66,278,5.0,5.0,533,3661,0,446,0.433,1
118173,5,rpm,-56,278,5.0,5.0,533,3661,0,446,0.433,1
118193,5,rpm,-106,278,5.0,5.0,533,3661,0,446,0.433,1
118214,5,rpm,-52,278,5.0,5.0,533,3661,0,446,0.433,1
118235,5,rpm,-55,278,5.0,5.0,533,3661,0,446,0.433,1
118255,5,rpm,-61,279,5.0,5.0,533,3661,0,447,0.433,1
118276,5,rpm,-29,279,5.0,5.0,533,3661,0,447,0.433,1
118296,5,rpm,-43,279,5.0,5.0,533,3661,0,447,0.433,1
118317,5,rpm,-24,279,5.0,5.0,533,3661,0,447,0.433,1
118338,5,rpm,-16,279,5.0,5.0,533,3661,0,447,0.433,1
118358,5,rpm,-18,279,5.0,5.0,533,3661,0,447,0.434,1
118379,5,rpm,-7,279,5.0,5.0,533,3661,0,447,0.434,1
118399,5,rpm,-4,279,5.0,5.0,533,3661,0,447,0.434,1
118420,5,rpm,12,279,5.0,5.0,533,3661,0,447,0.434,1
118441,5,rpm,14,279,5.0,5.0,533,3661,0,447,0.434,1
118461,5,rpm,26,280,5.0,5.0,533,3661,0,447,0.434,1
118482,5,rpm,144,280,5.0,5.0,533,3661,0,448,0.434,1
118502,5,rpm,57,280,5.0,5.0,533,3661,0,448,0.434,1
118523,5,rpm,97,280,5.0,5.0,533,3661,0,448,0.434,1
118544,5,rpm,284,280,5.0,5.0,533,3661,0,448,0.434,1
