t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,mitos,,sensirion_ul_AVG,mitos_ul_AVG,weighed_mass_g,flow_box_weight_g,,sensirion_ul_CV_raw,sensirion_ul_CV_filtered,mitos_ul_CV
294098,500,uL/min,0,0,3.1,5,333,5869,0,0,0,1,634.8,,497.3412139,412.8843249,6.83,10.135,,0.983623227,0.06454325,1.071031587
294120,500,uL/min,181,0,3.1,5,333,5869,0,0,0,1,97,,,,,,,,,
294141,500,uL/min,94,0,3.1,5,333,5869,0,0,0,1,367.8,,,,,,,,,
294162,500,uL/min,784,0,3.1,5,333,5869,0,0,0,1,657.4,,,,,,,,,
294183,500,uL/min,66,0,3.1,5,333,5869,0,0,0,1,677.2,,,,,,,,,
294204,500,uL/min,48,0,3.3,5,349,5593,0,0,0,1,624,,,,,,,,,
294225,500,uL/min,156,0,3.3,5,349,5593,0,0,0,1,-9.2,,,,,,,,,
294246,500,uL/min,884,0,3.3,5,349,5593,0,0,0,1,-163.4,,,,,,,,,
294267,500,uL/min,126,0,3.3,5,349,5593,0,0,0,1,12.6,,,,,,,,,
294288,500,uL/min,47,0,3.3,5,349,5593,0,0,0,1,639.2,,,,,,,,,
294308,500,uL/min,122,0,3.4,5,365,5350,0,0,0,1,372.6,,,,,,,,,
294329,500,uL/min,193,0,3.4,5,365,5350,0,0,0,1,676,,,,,,,,,
294350,500,uL/min,722,0,3.4,5,365,5350,0,0,0,1,663.6,,,,,,,,,
294371,500,uL/min,66,0,3.4,5,365,5350,0,0,0,1,242,,,,,,,,,
294392,500,uL/min,123,0,3.4,5,365,5350,0,0,0,1,596.2,,,,,,,,,
294413,500,uL/min,261,0,3.6,5,381,5128,0,0,0,1,733.2,,,,,,,,,
294434,500,uL/min,479,0,3.6,5,381,5128,0,0,0,1,772.8,,,,,,,,,
294455,500,uL/min,62,0,3.6,5,381,5128,0,0,0,1,407,,,,,,,,,
294476,500,uL/min,116,0,3.6,5,381,5128,0,0,0,1,-805.6,,,,,,,,,
294497,500,uL/min,367,0,3.6,5,381,5128,0,0,0,1,526.2,,,,,,,,,
294518,500,uL/min,70,0,3.7,5,396,4925,0,0,0,1,508,,,,,,,,,
294539,500,uL/min,43,0,3.7,5,396,4925,0,0,0,1,755.6,,,,,,,,,
294560,500,uL/min,77,0,3.7,5,396,4925,0,0,0,1,473,,,,,,,,,
294581,500,uL/min,105,0,3.7,5,396,4925,0,0,0,1,748.8,,,,,,,,,
294601,500,uL/min,10,0,3.7,5,396,4925,0,0,0,1,694.8,,,,,,,,,
294622,500,uL/min,-1002,0,3.9,5,412,4738,0,0,0,1,409.6,,,,,,,,,
294643,500,uL/min,-268,0,3.9,5,412,4738,0,0,0,1,671.8,,,,,,,,,
294664,500,uL/min,-82,0,3.9,5,412,4738,0,0,0,1,715.4,,,,,,,,,
294685,500,uL/min,-8,0,3.9,5,412,4738,0,0,0,1,628.2,,,,,,,,,
294706,500,uL/min,-1,1,3.9,5,412,4738,0,0,0,1,582.4,,,,,,,,,
294727,500,uL/min,-8,1,4,5,428,4567,0,0,0,1,730.6,,,,,,,,,
294748,500,uL/min,-12,1,4,5,428,4567,0,0,0,1,477.2,,,,,,,,,
294769,500,uL/min,-4,1,4,5,428,4567,0,0,0,1,720,,,,,,,,,
294790,500,uL/min,-29,1,4,5,428,4567,0,0,0,1,610.8,,,,,,,,,
294811,500,uL/min,-50,1,4,5,428,4567,0,0,0,1,762.8,,,,,,,,,
