id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn,port
2,344057,37,rpm,489,457,36.7,36.7,3915,497,0,1883,1.826,1,COM7
1,336167,36,rpm,385,437,36.3,36.3,3872,503,0,1798,1.744,1,COM6
2,344078,37,rpm,334,457,36.7,36.7,3915,497,0,1883,1.826,1,COM7
1,336188,36,rpm,-1092,437,36.3,36.3,3872,503,0,1798,1.744,1,COM6
2,344098,37,rpm,248,457,36.7,36.7,3915,497,0,1883,1.826,1,COM7
1,336208,36,rpm,-564,437,36.3,36.3,3872,503,0,1798,1.744,1,COM6
2,344119,37,rpm,-387,457,36.7,36.7,3915,497,0,1883,1.826,1,COM7
2,344140,37,rpm,57,457,36.7,36.7,3915,497,0,1883,1.827,1,COM7
1,336229,36,rpm,-88,437,36.3,36.3,3872,503,0,1798,1.744,1,COM6
1,336250,36,rpm,279,437,36.3,36.3,3872,503,0,1798,1.744,1,COM6
2,344161,37,rpm,439,457,36.7,36.7,3915,497,0,1883,1.827,1,COM7
2,344181,37,rpm,698,457,36.7,36.7,3915,497,0,1883,1.827,1,COM7
1,336271,36,rpm,618,437,36.3,36.3,3872,503,0,1798,1.744,1,COM6
2,344202,37,rpm,762,457,36.7,36.7,3915,497,0,1884,1.827,1,COM7
1,336291,36,rpm,757,437,36.3,36.3,3872,503,0,1799,1.745,1,COM6
1,336312,36,rpm,753,437,36.3,36.3,3872,503,0,1799,1.745,1,COM6
1,336333,36,rpm,740,437,36.3,36.3,3872,503,0,1799,1.745,1,COM6
2,344223,37,rpm,960,457,36.7,36.7,3915,497,0,1884,1.827,1,COM7
1,336353,36,rpm,865,437,36.3,36.3,3872,503,0,1799,1.745,1,COM6
2,344243,37,rpm,727,457,36.7,36.7,3915,497,0,1884,1.827,1,COM7
1,336374,36,rpm,1107,437,36.3,36.3,3872,503,0,1799,1.745,1,COM6
2,344264,37,rpm,616,457,36.7,36.7,3915,497,0,1884,1.828,1,COM7
1,336394,36,rpm,1211,437,36.3,36.3,3872,503,0,1799,1.745,1,COM6
2,344285,37,rpm,626,457,36.7,36.7,3915,497,0,1884,1.828,1,COM7
1,336415,36,rpm,682,437,36.3,36.3,3872,503,0,1800,1.746,1,COM6
2,344306,37,rpm,512,457,36.7,36.7,3915,497,0,1884,1.828,1,COM7
1,336436,36,rpm,213,437,36.3,36.3,3872,503,0,1800,1.746,1,COM6
2,344326,37,rpm,338,457,36.7,36.7,3915,497,0,1885,1.828,1,COM7
1,336456,36,rpm,-1750,437,36.3,36.3,3872,503,0,1800,1.746,1,COM6
2,344347,37,rpm,251,457,36.7,36.7,3915,497,0,1885,1.828,1,COM7
1,336477,36,rpm,-204,437,36.3,36.3,3872,503,0,1800,1.746,1,COM6
2,344368,37,rpm,-381,457,36.7,36.7,3915,497,0,1885,1.828,1,COM7
1,336498,36,rpm,-11,437,36.3,36.3,3872,503,0,1800,1.746,1,COM6
2,344388,37,rpm,37,457,36.7,36.7,3915,497,0,1885,1.828,1,COM7
1,336518,36,rpm,498,437,36.3,36.3,3872,503,0,1800,1.746,1,COM6
2,344409,37,rpm,305,457,36.7,36.7,3915,497,0,1885,1.829,1,COM7
1,336539,36,rpm,667,437,36.3,36.3,3872,503,0,1800,1.746,1,COM6
2,344430,37,rpm,719,457,36.7,36.7,3915,497,0,1885,1.829,1,COM7
1,336560,36,rpm,740,437,36.3,36.3,3872,503,0,1801,1.747,1,COM6
2,344451,37,rpm,844,457,36.7,36.7,3915,497,0,1886,1.829,1,COM7
1,336580,36,rpm,793,437,36.3,36.3,3872,503,0,1801,1.747,1,COM6
2,344471,37,rpm,763,457,36.7,36.7,3915,497,0,1886,1.829,1,COM7
1,336601,36,rpm,776,437,36.3,36.3,3872,503,0,1801,1.747,1,COM6
2,344492,37,rpm,753,457,36.7,36.7,3915,497,0,1886,1.829,1,COM7
1,336621,36,rpm,898,437,36.3,36.3,3872,503,0,1801,1.747,1,COM6
2,344513,37,rpm,742,457,36.7,36.7,3915,497,0,1886,1.829,1,COM7
1,336642,36,rpm,1379,437,36.3,36.3,3872,503,0,1801,1.747,1,COM6
2,344533,37,rpm,551,457,36.7,36.7,3915,497,0,1886,1.83,1,COM7
1,336663,36,rpm,1037,437,36.3,36.3,3872,503,0,1801,1.747,1,COM6
2,344554,37,rpm,532,457,36.7,36.7,3915,497,0,1886,1.83,1,COM7
1,336683,36,rpm,460,437,36.3,36.3,3872,503,0,1801,1.747,1,COM6
